id_usuario,nome,email,cpf,ano_nascimento, mes_nascimento, dia_nascimento,telefone,status
26, Sra. Maria Sophia Almeida, ana-juliada-mota@example.org, 185.409.236-70, 1931, 9, 18, 71 6031-4997, aluno
27, Benjamim Guerra, lucas-gabriel79@example.org, 378.961.542-00, 1968, 5, 8, +55 061 7864-9156, instrutor
28, Benício Almeida, xteixeira@example.net, 031.245.968-89, 1934, 8, 12, +55 31 2928-8257, instrutor
29, Bernardo Albuquerque, diegovieira@example.net, 052.347.689-29, 1977, 5, 5, 061 8417 2523, aluno
30, Sr. José Pedro Pinto, nicolecamargo@example.com, 649.752.810-58, 1995, 7, 22, 61 5825 8448, aluno
31, Dr. Apollo Pimenta, eloahnunes@example.net, 527.641.093-34, 2004, 10, 17, +55 081 3598 4920, instrutor
32, João Ramos, juanaraujo@example.org, 195.346.027-52, 1992, 10, 31, 0900 134 7266, aluno
33, Marina Barbosa, cavalcantivitoria@example.net, 408.692.713-69, 1983, 3, 5, +55 81 2793-5732, instrutor
34, Ian Barbosa, siqueirajuliana@example.org, 283.706.941-87, 1989, 2, 12, 084 7191-7917, aluno
35, Pedro Ramos, xlima@example.org, 517.620.483-53, 1988, 6, 16, 0300 978 2552, instrutor
36, Agatha Camargo, alana35@example.net, 038.974.265-10, 1946, 10, 6, +55 31 7130-6661, instrutor
37, Liam Correia, nunesgustavo-henrique@example.net, 714.653.092-25, 1971, 11, 1, 51 4595 0017, instrutor
38, Lunna Silveira, caua87@example.org, 753.261.894-37, 1929, 11, 5, 0500 771 6989, instrutor
39, Thales Nunes, dantecardoso@example.net, 248.170.936-50, 1932, 1, 1, 041 5870 1824, aluno
40, Fernanda Castro, ribeiropietro@example.net, 412.357.068-26, 1999, 6, 1, 081 6935 2453, aluno
41, Miguel Silveira, rcunha@example.net, 390.486.715-66, 1955, 8, 8, 51 5964 3510, instrutor
42, Maria Fernanda Rios, enzo-gabrielborges@example.com, 513.297.640-99, 1979, 9, 28, +55 061 4226-5863, instrutor
43, Hadassa Lima, santostheo@example.net, 068.214.937-31, 1956, 6, 19, 031 2083-1387, instrutor
44, Matheus Aparecida, rafaela90@example.com, 253.186.947-64, 1925, 8, 23, 31 3144-8422, instrutor
45, Ana Lívia Alves, yago18@example.com, 351.609.284-05, 1992, 6, 6, 0800 700 0559, instrutor
46, Henry Monteiro, santoshelena@example.net, 873.069.215-68, 1968, 2, 9, 41 9008-9490, aluno
47, Luiz Henrique Lima, cassianopedro@example.net, 843.201.596-24, 1983, 7, 30, 0500 229 7487, aluno
48, Sarah Porto, ucamargo@example.net, 754.123.086-35, 1978, 3, 5, +55 61 1604 7137, aluno
49, Dra. Emanuella da Paz, pachecomaria-vitoria@example.org, 594.720.361-80, 1944, 10, 13, 71 1104 1029, instrutor
50, Gael Henrique da Rosa, lucas-gabrieljesus@example.org, 283.465.017-90, 1972, 8, 4, 081 0281 5797, aluno
51, Augusto Câmara, luiz-felipebrito@example.org, 120.956.738-59, 1943, 11, 18, +55 084 1758-1264, instrutor
52, Mariane Cavalcanti, cpacheco@example.net, 618.457.390-00, 1964, 12, 11, 41 6492 3730, instrutor
53, Luiz Otávio da Rocha, jesusalexandre@example.com, 761.420.983-40, 2006, 3, 6, +55 31 8424-7738, instrutor
54, Leandro Lopes, freitasmaria-alice@example.org, 564.239.780-00, 1979, 8, 24, 0900 915 3894, instrutor
55, Pedro Mendes, bvasconcelos@example.com, 289.354.601-33, 1933, 9, 11, +55 61 8394 5778, aluno
56, Dante Pinto, carlos-eduardomontenegro@example.org, 694.810.357-00, 1973, 6, 23, +55 061 2405-3151, aluno
57, Dra. Luna Nogueira, uaragao@example.net, 561.720.498-01, 1935, 3, 4, +55 71 5725 7342, aluno
58, Brenda Vargas, eloa98@example.com, 510.379.684-84, 1967, 8, 5, 61 9930-4841, aluno
59, Maria Isis Casa Grande, luiz-fernando13@example.net, 409.653.187-10, 1949, 12, 9, 0800-091-8343, aluno
60, Caio Caldeira, luiz-felipenovaes@example.org, 468.357.019-00, 1946, 8, 7, +55 011 4981 3520, instrutor
61, Anna Liz Camargo, melissa16@example.org, 416.278.950-94, 1939, 4, 21, +55 84 0875-7977, instrutor
62, Isadora Borges, maria-helenaborges@example.org, 935.810.742-14, 1966, 10, 30, 11 1500 9123, instrutor
63, Josué Garcia, mathiasnovais@example.org, 024.156.938-98, 1938, 8, 15, +55 011 8320-5469, instrutor
64, Henry Gabriel Machado, barbosalevi@example.com, 684.901.573-75, 1986, 11, 23, 084 3970-2082, instrutor
65, Antonella Ferreira, machadoana-julia@example.org, 854.736.912-00, 1924, 9, 20, +55 11 9162 1953, aluno
66, Isaac Costa, fmoura@example.net, 024.596.738-92, 2004, 9, 14, +55 31 0376 3440, instrutor
67, Dra. Joana Porto, qfernandes@example.com, 195.823.746-91, 1947, 1, 21, 81 3717 1662, instrutor
68, Letícia Costela, alana39@example.com, 918.452.076-02, 2005, 3, 11, 11 9010-0444, aluno
69, Júlia Aparecida, maysaalmeida@example.org, 671.029.853-12, 1936, 11, 15, +55 061 9047-9080, instrutor
70, Dra. Maria Julia Albuquerque, hcaldeira@example.net, 135.269.084-51, 1950, 1, 30, 071 6101 4157, instrutor
71, João Vitor da Cruz, barbarafreitas@example.org, 612.790.453-61, 1961, 8, 25, 81 5889-4450, instrutor
72, Ana Luiza Aragão, luiz-henriqueda-costa@example.com, 287.396.140-69, 1979, 7, 12, +55 041 3485 3142, aluno
73, Isis Jesus, joao-vitor19@example.com, 851.037.924-60, 1964, 10, 8, +55 84 8312 3109, aluno
74, Murilo Monteiro, marcos-viniciusduarte@example.net, 792.184.063-96, 1961, 9, 24, +55 031 8028-8446, instrutor
75, Gael Henrique Ribeiro, moraesfelipe@example.com, 821.496.735-09, 1974, 11, 1, 041 6837-6859, aluno
76, Elisa Pimenta, maria-lizcavalcanti@example.net, 210.347.985-88, 1963, 1, 6, 071 6807 3792, aluno
77, Kevin Garcia, rafaela13@example.com, 189.703.265-02, 1982, 3, 2, 61 5367-3543, aluno
78, Antônio Rezende, uporto@example.com, 758.319.240-41, 1996, 4, 1, 061 9186 6310, instrutor
79, Maria Cecília da Cruz, da-pazlucas-gabriel@example.org, 213.086.597-68, 1998, 4, 23, 084 9822 8507, instrutor
80, João Lucas Barbosa, pastorlavinia@example.net, 542.376.098-47, 1993, 1, 31, +55 51 3658 0455, aluno
81, Sra. Vitória Vargas, riosenzo@example.com, 960.723.154-61, 1944, 6, 8, 41 6418-9277, aluno
82, Rodrigo Cavalcanti, ana-carolinaramos@example.net, 253.768.401-07, 1973, 8, 5, 061 9728 5682, aluno
83, Sr. Murilo Nunes, alveslucas-gabriel@example.com, 401.235.867-71, 1939, 12, 15, 71 9016-1696, aluno
84, Sra. Ana Brito, das-nevesmariane@example.org, 367.054.192-61, 1965, 12, 20, 0500 834 7122, instrutor
85, Henry Guerra, domvasconcelos@example.org, 532.674.891-64, 1997, 1, 13, 0500-566-6212, instrutor
86, Emilly Siqueira, marcos-viniciusalbuquerque@example.net, 109.784.236-31, 1978, 11, 1, 0300-302-4599, instrutor
87, José Fonseca, xbarbosa@example.org, 791.503.642-43, 1976, 2, 25, 61 9069-9047, aluno
88, Isadora Fonseca, ianfonseca@example.com, 152.094.376-80, 1976, 12, 15, 084 6554-9152, instrutor
89, Bryan Moreira, melomelissa@example.com, 159.823.607-59, 1993, 10, 18, +55 41 1182-4882, aluno
90, Marina Abreu, fonsecajulia@example.net, 120.458.396-05, 1947, 1, 5, 051 6158 3637, instrutor
91, Pedro Lucas Brito, nicolas75@example.net, 246.105.839-33, 1958, 5, 27, +55 61 9842-8825, instrutor
92, Sr. Lucas Gabriel Novaes, thalesferreira@example.org, 653.814.209-51, 1959, 7, 28, 21 4781 6587, aluno
93, Melina Pacheco, icosta@example.com, 186.792.450-11, 1933, 2, 24, 041 1209 0264, instrutor
94, Sra. Rebeca Almeida, valentina48@example.com, 357.486.901-01, 1973, 5, 1, 51 5216 2043, aluno
95, Ana Liz Teixeira, machadolorenzo@example.com, 374.025.896-92, 1931, 3, 19, 31 0004 0779, instrutor
96, Joaquim Andrade, maria29@example.com, 591.034.268-15, 2002, 3, 19, 81 4239-5466, instrutor
97, Rafaela Casa Grande, isabella03@example.net, 658.201.794-20, 1956, 7, 27, 11 9404 2508, instrutor
98, Ana Carolina Vasconcelos, maria-claranascimento@example.org, 916.273.540-34, 1932, 5, 10, 71 5978-0852, aluno
99, Maria Vitória da Mata, ynascimento@example.org, 401.897.623-22, 1946, 9, 1, 011 4294-9855, instrutor
100, Ágatha Pacheco, caldeirarafaela@example.org, 275.613.089-30, 2000, 12, 5, 031 4607 1404, aluno
101, Vitor Hugo Gomes, rodriguesapollo@example.net, 729.805.413-97, 1961, 5, 29, +55 031 4859-2499, aluno
102, Hadassa Silveira, joaojesus@example.net, 920.451.763-80, 1980, 5, 17, +55 51 3084 3066, instrutor
103, Gael Rocha, correiacecilia@example.org, 760.982.351-12, 1997, 8, 13, +55 61 0138 5405, instrutor
104, Srta. Larissa Pires, barrosmirella@example.com, 587.246.310-35, 2003, 7, 26, 41 0278 8413, instrutor
105, Liam Oliveira, goncalvesdiego@example.com, 176.582.904-67, 1996, 7, 28, 61 0309 7745, aluno
106, Vinícius Monteiro, maria-alice19@example.com, 071.382.594-41, 1980, 6, 28, 0900-429-1061, aluno
107, Enzo Vargas, danielnogueira@example.org, 125.367.098-68, 1977, 11, 24, +55 84 6723 7907, aluno
108, Anthony Cunha, raquel81@example.com, 062.189.735-30, 1926, 6, 23, +55 61 9598 7758, aluno
109, Ana Lívia Almeida, helena77@example.com, 860.471.592-49, 1948, 10, 8, 0900 570 0768, instrutor
110, Henry Borges, otaviopastor@example.net, 024.965.813-51, 1929, 5, 21, +55 51 2828 2688, aluno
111, Sarah Pires, camargoagatha@example.com, 218.369.405-05, 1991, 1, 6, +55 051 7252-2928, aluno
112, Sr. Vinícius Ramos, lopesmatheus@example.com, 031.687.452-35, 1985, 11, 24, +55 081 1058-2929, instrutor
113, Lucas Gabriel Cirino, ocarvalho@example.com, 518.234.706-53, 1942, 6, 16, +55 061 4488-8904, instrutor
114, Vinicius Mendes, smelo@example.net, 840.591.237-14, 1939, 5, 2, 071 1261 8107, instrutor
115, Gabriel Ribeiro, ana-juliamontenegro@example.net, 769.231.854-91, 1931, 7, 3, 81 4124 5053, instrutor
116, Dr. Pietro Fogaça, aragaohenry-gabriel@example.net, 758.402.139-50, 1969, 7, 28, 61 3586 5228, instrutor
117, Gabriela da Luz, freitascecilia@example.com, 712.630.984-87, 1965, 3, 31, 031 9931 5552, instrutor
118, Lunna Garcia, leonardo69@example.net, 617.024.839-40, 1972, 7, 28, 81 0662 6434, instrutor
119, Maitê Fonseca, palves@example.com, 420.713.965-61, 1985, 11, 26, 0300-936-2593, aluno
120, Bárbara Casa Grande, sbarros@example.net, 395.076.148-93, 1929, 4, 12, +55 041 3883 5514, instrutor
121, Sra. Lara Campos, fernandesbrenda@example.com, 634.528.091-70, 1996, 4, 26, 0900-395-7991, instrutor
122, Maysa da Luz, luan54@example.org, 156.978.430-20, 1946, 10, 13, 41 2623-3102, instrutor
123, Valentina Silveira, orios@example.com, 486.720.193-69, 1929, 1, 22, 0300 516 2100, instrutor
124, Marcelo Cirino, elopes@example.org, 095.276.834-83, 1960, 9, 18, 051 3534-4129, instrutor
125, Vinícius Cavalcanti, vargasantonella@example.com, 329.105.867-40, 1941, 4, 20, 061 5233-0133, aluno
126, Otávio Ramos, lucas77@example.org, 567.289.410-02, 2002, 10, 28, +55 051 3355 8251, aluno
127, Vicente Machado, natalia18@example.com, 762.398.140-40, 1985, 7, 21, 0900 397 3986, aluno
128, Heloisa Melo, anthonysampaio@example.net, 486.501.793-39, 1941, 2, 4, 061 0149-0708, aluno
129, Srta. Alexia da Luz, sousaana-carolina@example.net, 640.913.825-33, 1967, 7, 15, +55 11 9688-8554, instrutor
130, Rafael Pereira, paulo69@example.org, 043.687.592-65, 1997, 8, 4, 0900 246 2429, instrutor
131, Raul Casa Grande, llopes@example.org, 061.972.435-80, 1950, 5, 8, 041 1139 9630, instrutor
132, Diogo Vasconcelos, miguel99@example.net, 765.401.893-20, 1996, 12, 22, +55 011 7585 7126, aluno
133, Ana Clara Albuquerque, nathansilveira@example.org, 432.059.861-05, 1959, 2, 11, 21 7776-0972, aluno
134, Antônio Pastor, da-rochalevi@example.com, 052.437.869-00, 1964, 6, 27, +55 21 9086 1671, instrutor
135, João Gabriel Barros, bazevedo@example.com, 854.126.730-07, 1986, 11, 10, +55 81 2447 7217, instrutor
136, Marcos Vinicius Mendonça, eda-paz@example.net, 048.372.165-44, 1953, 7, 7, 0800-768-0413, aluno
137, Arthur da Cunha, jesusapollo@example.net, 453.761.209-61, 1945, 11, 1, 84 3595-8476, aluno
138, Mirella Duarte, pietra65@example.net, 714.852.903-41, 1927, 10, 3, 031 4961-0802, aluno
139, Sr. Vitor Gabriel Cardoso, qsales@example.com, 485.613.279-28, 1940, 9, 11, +55 51 8482 8723, aluno
140, Daniel Cirino, maria73@example.com, 439.271.506-06, 1934, 3, 10, 071 9997-6875, aluno
141, Stephany Cunha, vasconcelosesther@example.org, 482.360.719-87, 1951, 11, 24, 084 1962-4781, instrutor
142, Leonardo Novaes, duartefelipe@example.com, 420.836.579-00, 1940, 2, 3, 84 8471-0245, instrutor
143, Sr. Isaac Lima, hleao@example.com, 461.987.302-04, 1975, 6, 26, +55 021 0322 2563, aluno
144, Davi Lucas Pimenta, lara06@example.com, 206.948.315-06, 1986, 3, 3, 031 1750-5303, aluno
145, Ana Liz Andrade, kamillycosta@example.net, 081.395.264-60, 1960, 2, 26, +55 81 7701 7915, aluno
146, Gabrielly Moura, abreudiego@example.net, 804.321.957-50, 1926, 5, 17, +55 021 1126-4970, aluno
147, Francisco Peixoto, noahrios@example.com, 803.592.671-30, 1998, 9, 29, 021 0481 9933, aluno
148, Sabrina Casa Grande, britojoao-guilherme@example.com, 953.621.784-82, 1993, 5, 8, +55 061 8331-6177, aluno
149, Bruna Aparecida, maria-laura51@example.net, 547.906.281-67, 1963, 4, 18, +55 041 9149-5495, instrutor
150, Antony Gonçalves, hcavalcante@example.net, 429.756.031-34, 1981, 5, 16, 0800-373-5722, instrutor
151, Bárbara Sampaio, mateus31@example.com, 812.467.935-55, 2006, 1, 7, 51 5983 3967, aluno
152, Mathias Cardoso, allanamelo@example.com, 078.213.965-59, 1940, 11, 17, 21 9221 0397, instrutor
153, Henrique Macedo, rezendeliam@example.net, 145.832.906-24, 1960, 2, 22, +55 61 3709 4211, instrutor
154, Catarina Andrade, isaac46@example.org, 730.581.429-60, 1947, 1, 14, 21 1527 8249, instrutor
155, Olívia Melo, nunesliam@example.net, 806.915.274-58, 1951, 5, 12, 031 3652 7573, instrutor
156, Bruna Correia, ida-rosa@example.org, 407.293.651-07, 1930, 6, 5, +55 41 6880-7272, instrutor
157, Bento Azevedo, ravi-luccacavalcante@example.com, 057.984.623-74, 1964, 3, 1, +55 51 3795 1584, aluno
158, Sr. Matheus Barros, teixeiradiego@example.net, 061.739.825-95, 1933, 6, 3, 061 4645 2134, instrutor
159, Felipe Duarte, yasmin84@example.net, 385.729.016-12, 2004, 3, 23, +55 081 7397-9735, instrutor
160, Caroline Cunha, soliveira@example.com, 806.759.431-75, 1997, 12, 31, 0800 977 8424, instrutor
161, Matteo da Rocha, lopesgael@example.com, 709.538.216-68, 1986, 8, 10, +55 51 9816 9806, instrutor
162, Isadora Jesus, maria-eduarda74@example.org, 928.506.473-65, 1975, 2, 2, +55 21 9056-5827, instrutor
163, Danilo Campos, allana44@example.com, 615.243.908-60, 1954, 3, 29, +55 81 6041 1760, instrutor
164, Laura Caldeira, lopesjoao-felipe@example.net, 023.694.718-40, 1966, 7, 14, +55 041 4953 1473, aluno
165, Maria Cirino, eduardadas-neves@example.com, 970.628.315-30, 1948, 6, 3, 84 7426 5336, aluno
166, Laura Farias, coliveira@example.com, 897.106.523-03, 1946, 1, 24, +55 021 0566-9066, instrutor
167, Raul Azevedo, lorena74@example.net, 173.986.042-03, 1996, 6, 4, +55 21 2554-5476, aluno
168, Nathan Carvalho, ana-luiza52@example.org, 586.034.721-90, 1983, 12, 22, 061 3386 7068, instrutor
169, Nina Souza, iaragao@example.net, 019.365.874-75, 1969, 6, 23, 071 2283-1135, instrutor
170, Guilherme Nunes, teixeiraana-julia@example.com, 954.320.867-00, 1962, 6, 27, 041 2997-6832, aluno
171, Helena da Costa, novaisluiz-miguel@example.com, 435.976.281-09, 1936, 1, 4, +55 071 2929 8134, instrutor
172, Dr. Lucca Garcia, luan77@example.com, 159.234.678-28, 1925, 1, 4, 0300-988-5236, instrutor
173, Isabela Vargas, rebeca64@example.com, 738.419.520-97, 1932, 10, 15, 41 1831-4155, instrutor
174, Levi Oliveira, ottonunes@example.net, 021.674.539-06, 1959, 6, 10, 51 1408 3624, aluno
175, João Martins, leaovicente@example.com, 582.401.963-06, 1965, 7, 4, +55 71 4636 3074, instrutor
176, João Lucas Sousa, beniciosa@example.org, 023.951.468-89, 1986, 4, 16, 021 7742-8282, aluno
177, Sr. Enzo Gabriel Casa Grande, fmelo@example.com, 268.730.154-07, 1979, 3, 21, +55 81 1527-9003, aluno
178, Sr. Bryan da Cruz, mendesana-cecilia@example.org, 319.042.756-99, 1984, 2, 6, +55 51 0061 2506, aluno
179, Maria Julia Pacheco, barrosagatha@example.org, 509.136.748-93, 1989, 6, 19, +55 021 6345-0068, instrutor
180, Camila Azevedo, maria-cecilialopes@example.org, 146.095.327-43, 1987, 7, 29, 51 1721 3272, instrutor
181, Kevin da Cunha, pietrajesus@example.net, 968.751.430-20, 1958, 6, 18, 061 2584-7713, aluno
182, Ester Campos, leonardosousa@example.net, 798.043.256-83, 1987, 10, 29, 0300 249 9330, aluno
183, Dr. Kaique da Mota, da-rochastella@example.org, 174.950.823-05, 2000, 8, 8, 0500 645 5188, aluno
184, Jade Pimenta, leo19@example.org, 429.381.670-40, 1930, 7, 21, 021 8070 3667, aluno
185, José Miguel Melo, uda-rocha@example.net, 048.532.719-88, 1961, 3, 3, +55 081 7098-1834, aluno
186, Lara Pinto, lucca28@example.org, 275.840.136-35, 1979, 11, 6, +55 011 5944 5670, aluno
187, Asafe Viana, ana-julia64@example.org, 362.458.170-80, 1971, 4, 11, 61 7370 7618, aluno
188, Zoe Aparecida, bella03@example.net, 945.703.612-34, 1988, 1, 30, 81 3054 1276, aluno
189, Sr. João Gabriel Aragão, giovanna20@example.org, 724.510.396-80, 1936, 4, 6, +55 081 0515 2956, aluno
190, Sra. Rafaela Farias, ajesus@example.org, 579.062.481-20, 1989, 4, 30, 81 0180 7683, instrutor
191, Pedro Ferreira, maria-florda-paz@example.net, 798.243.516-55, 1938, 5, 13, 041 6856 4960, aluno
192, Mirella Guerra, marquesbella@example.com, 574.390.621-16, 1965, 4, 24, +55 51 5983 3545, aluno
193, Srta. Maria Isis Cavalcante, maria-luisa43@example.com, 403.915.872-50, 1932, 12, 23, +55 81 3786-7312, aluno
194, Raquel Cunha, luiz-fernando25@example.org, 974.325.106-52, 1988, 6, 9, 0800 310 2184, aluno
195, Nina Cassiano, oliviagarcia@example.org, 230.914.865-24, 2001, 12, 30, 061 3806 3776, instrutor
196, Rodrigo Freitas, costabruna@example.net, 465.270.839-47, 2005, 5, 4, +55 041 6724-2486, instrutor
197, Kamilly Garcia, kmartins@example.com, 631.784.290-69, 1958, 10, 30, 81 3501-0260, aluno
198, Renan Gomes, costelaagatha@example.net, 371.905.624-43, 1963, 8, 28, 011 7854-5715, aluno
199, Carlos Eduardo Borges, marquesmariah@example.com, 602.183.475-53, 1927, 12, 8, 061 1338 0199, instrutor
200, Maya da Paz, barrosandre@example.com, 386.149.075-75, 1985, 10, 11, +55 31 2389-2254, instrutor
201, Otto Siqueira, luiz-otavio29@example.org, 673.254.918-91, 1955, 9, 23, +55 031 3348 5444, instrutor
202, Ian da Mota, vieiraana-julia@example.com, 286.034.519-15, 1968, 4, 9, 081 5293 3302, aluno
203, João Guilherme da Rosa, azevedoleonardo@example.org, 643.982.015-05, 1962, 10, 13, +55 61 0215-6675, aluno
204, Luísa Gonçalves, erick02@example.com, 672.859.103-68, 1980, 4, 19, +55 081 0814 1370, instrutor
205, Sophie Freitas, maria-julia10@example.net, 603.148.975-93, 1983, 12, 25, +55 041 7802-7699, aluno
206, Sra. Carolina Guerra, esther39@example.org, 941.508.623-89, 2006, 6, 15, 31 3294-8743, aluno
207, Pedro Henrique da Conceição, sarah40@example.com, 436.205.879-65, 2002, 6, 16, 011 4643-5714, instrutor
208, Sophia Guerra, bianca57@example.net, 904.765.138-39, 1984, 9, 30, +55 51 1697 1497, aluno
209, Mariah Cavalcanti, fpires@example.com, 017.482.593-50, 1995, 3, 4, 31 4885-9454, aluno
210, Ágatha Santos, samuelpastor@example.net, 625.480.971-02, 1944, 5, 7, +55 81 1136 5333, aluno
211, Maria Alice Vargas, yrodrigues@example.com, 851.376.409-48, 1964, 10, 29, +55 61 6575-1348, instrutor
212, Cecilia Lima, rodrigo20@example.org, 678.312.049-03, 1954, 11, 17, +55 051 3113 4245, aluno
213, Ryan da Rosa, monteiroliz@example.net, 740.269.318-03, 1970, 4, 9, +55 084 7639 7080, aluno
214, Ana Laura Costela, sampaiosophie@example.com, 148.023.567-90, 1991, 5, 21, 061 2932 6452, aluno
215, Thiago da Cruz, sarah66@example.net, 493.572.061-16, 1959, 3, 8, +55 41 1688 2160, aluno
216, Ian da Luz, cpires@example.org, 915.703.846-57, 1990, 9, 3, 071 2980-1286, aluno
217, Sara Moreira, kevin67@example.com, 673.415.280-44, 1934, 5, 28, +55 21 2278 5598, aluno
218, Bento Rocha, rcardoso@example.com, 954.708.263-92, 1946, 3, 4, +55 061 6562 6164, instrutor
219, Oliver Abreu, maria-lizgarcia@example.com, 279.385.041-14, 1979, 2, 21, 0900 926 7378, instrutor
220, Daniel da Luz, siqueiramelina@example.org, 304.829.615-89, 1927, 2, 22, +55 81 6672 3201, instrutor
221, Noah Cavalcante, spereira@example.net, 182.035.497-05, 1962, 6, 19, +55 41 1945 8390, aluno
222, Maria Alice Silveira, da-cruzleo@example.org, 369.480.751-93, 1980, 11, 6, 41 3362 8164, aluno
223, Ana Beatriz Costela, isabel66@example.com, 923.645.817-37, 1995, 5, 7, 0900 486 1848, instrutor
224, Thiago Farias, da-cruzjuan@example.net, 613.795.480-39, 1931, 5, 4, 61 2417-0701, aluno
225, Igor Azevedo, vicenteguerra@example.com, 083.261.745-80, 2007, 2, 9, +55 81 0388 9158, aluno
226, Diogo Dias, araujoesther@example.net, 518.927.046-76, 1999, 3, 10, +55 031 0904-1016, aluno
227, Antony Monteiro, imendonca@example.net, 409.128.763-87, 1957, 2, 6, 021 2854 6362, instrutor
228, Clarice Duarte, fonsecamaria-vitoria@example.net, 438.092.571-41, 1978, 4, 2, 021 8951-0123, aluno
229, Isaque Lopes, xda-cunha@example.com, 248.160.357-53, 1961, 12, 6, 084 0402-7383, aluno
230, Dr. Thomas Peixoto, juliana01@example.com, 098.254.163-51, 1996, 11, 30, +55 011 0610 7370, instrutor
231, Thiago Sales, urezende@example.com, 589.346.107-00, 2007, 4, 10, 81 8632-1838, instrutor
232, Gabrielly Martins, moraessophie@example.net, 725.836.091-30, 1998, 11, 14, +55 084 0626-9259, instrutor
233, Dr. Murilo Pastor, eduardo11@example.com, 503.164.729-99, 2002, 11, 20, +55 61 1318-5708, aluno
234, Luiz Felipe Casa Grande, manuella77@example.net, 094.175.283-60, 2000, 8, 5, 84 4915-9820, instrutor
235, Sofia Moreira, sdas-neves@example.org, 045.238.197-50, 1936, 10, 27, 11 6860-4235, aluno
236, Yan Duarte, emanuella30@example.com, 206.795.841-02, 1945, 7, 19, +55 071 0258 1196, instrutor
237, Bruno Caldeira, levi78@example.net, 082.149.753-79, 2006, 10, 24, 71 2056 9668, aluno
238, Rafael Leão, mouraleticia@example.net, 147.538.069-01, 1979, 8, 1, +55 31 8004 5948, instrutor
239, Amanda Vargas, arthur-gabrielcampos@example.org, 175.803.264-26, 1983, 12, 10, +55 61 4633-9769, instrutor
240, Pedro Miguel Novais, da-conceicaoyuri@example.org, 902.357.468-00, 1966, 7, 4, 0500 603 5193, instrutor
241, Clara Sá, mendesisis@example.net, 350.486.197-57, 2003, 2, 1, +55 61 3334-8958, aluno
242, Dr. Benjamim Souza, luancorreia@example.org, 361.087.952-12, 1963, 2, 7, 21 8743-9282, aluno
243, Kevin Moura, caua13@example.net, 301.587.269-95, 1925, 2, 20, +55 31 3631-3474, aluno
244, Pietra Moreira, lunaramos@example.com, 274.058.391-50, 2000, 11, 27, 81 8376-9651, instrutor
245, Théo Duarte, emanuel45@example.net, 268.153.490-98, 1947, 1, 30, 0900-849-9582, instrutor
